,Al91Zn5.2Mg2.3Cu1.5,Mg,SiCp,CNTs,热压温度（℃）,热压压力（MPa）,固溶温度（℃）,固溶时间（min）,时效温度（℃）,时效时间（h）,延伸率（%）
0,85,0,14.5,0.5,525,300,470,50,120,24,6.67
1,85,0,14.5,0.5,550,300,470,50,120,24,7.88
2,85,0,14.5,0.5,575,300,470,50,120,24,6.76
3,85,0,14.5,0.5,600,300,470,50,120,24,6.72
4,85,0,14.5,0.5,550,300,470,60,120,24,5.23
5,85,0,14.5,0.5,550,350,470,60,120,24,5.21
6,85,0,14.5,0.5,550,400,470,60,120,24,5.58
7,100,0,0.0,0.0,550,300,470,60,120,24,7.66
8,85,0,15.0,0.0,550,300,470,60,120,24,6.24
36,100,0,0.0,0.0,550,300,470,40,120,12,11.06
37,85,0,15.0,0.0,550,300,470,40,120,12,4.86
38,84,1,15.0,0.0,550,300,470,40,120,12,1.9
39,85,0,14.5,0.5,550,300,470,40,120,12,4.59
40,84,1,14.5,0.5,550,300,470,40,120,12,2.3
41,100,0,0.0,0.0,550,300,470,50,120,12,7.75
42,85,0,15.0,0.0,550,300,470,50,120,12,4.14
43,85,0,14.5,0.5,550,300,470,50,120,12,3.2
44,100,0,0.0,0.0,550,300,470,40,120,9,9.4
45,85,0,15.0,0.0,550,300,470,40,120,9,3.8
46,85,0,14.5,0.5,550,300,470,40,120,9,2.9
47,100,0,0.0,0.0,550,300,470,40,120,15,8.7
48,99,1,0.0,0.0,550,300,470,40,120,15,5.5
49,85,0,15.0,0.0,550,300,470,40,120,15,4.8
50,84,1,15.0,0.0,550,300,470,40,120,15,3.0
51,85,0,14.5,0.5,550,300,470,40,120,15,5.3
52,100,0,0.0,0.0,550,300,470,40,120,18,9.8
53,85,0,15.0,0.0,550,300,470,40,120,18,3.3
54,84,1,15.0,0.0,550,300,470,40,120,18,2.4
55,85,0,14.5,0.5,550,300,470,40,120,18,4.8
56,84,1,14.5,0.5,550,300,470,40,120,18,2.9
